lambda,E0_exact,E0_vqe,abs_error,theta,success
0.67,1.8656273837420738,1.8656273837420736,2.220446049250313e-16,-1.6452850411007196,True
0.68,1.8582396388266451,1.8582396388266524,7.327471962526033e-15,-1.8568474540502447,True
0.6900000000000001,1.845261510928922,1.8452615109289319,9.769962616701378e-15,-2.0402238612399684,True
0.7000000000000001,1.8279534946591474,1.8279534946591505,3.1086244689504383e-15,-2.191045620707015,True
0.71,1.8074798711822582,1.807479871182258,2.220446049250313e-16,-2.3121054008022015,True
0.72,1.7847420152468203,1.7847420152468212,8.881784197001252e-16,-2.408777628035149,True
0.73,1.7603836399575354,1.7603836399575368,1.3322676295501878e-15,-2.486406047985326,True
0.74,1.7348509852931753,1.7348509852931755,2.220446049250313e-16,-2.5494059690308677,True
0.75,1.708452405257735,1.708452405257735,0.0,-2.6011731655360966,True
0.76,1.6814030759721619,1.681403075972205,4.3076653355456074e-14,-2.644250456466362,True
0.77,1.6538555214942754,1.6538555214943158,4.04121180963557e-14,-2.6805295019410313,True
0.78,1.6259197946963782,1.6259197946964086,3.042011087472929e-14,-2.711425757098909,True
0.79,1.5976767468813167,1.5976767468813362,1.9539925233402755e-14,-2.738006658305701,True
0.8,1.5691868154292394,1.5691868154292492,9.769962616701378e-15,-2.7610864880487607,True
0.81,1.540495919495811,1.5404959194958145,3.552713678800501e-15,-2.781293833643487,True
0.8200000000000001,1.5116394774349589,1.5116394774349595,6.661338147750939e-16,-2.7991197218187978,True
0.8300000000000001,1.4826451894492523,1.4826451894492523,0.0,-2.8149521423415123,True
0.84,1.4535349965459818,1.4535349965459832,1.3322676295501878e-15,-2.829101021294466,True
0.85,1.4243264814150298,1.4243264814150338,3.9968028886505635e-15,-2.8418164700594284,True
0.86,1.3950338852464543,1.395033885246461,6.661338147750939e-15,-2.8533022653715965,True
0.87,1.3656688561957564,1.3656688561957655,9.103828801926284e-15,-2.8637259159624318,True
0.88,1.3362410075938704,1.3362410075938813,1.0880185641326534e-14,-2.8732262611830364,True
0.89,1.3067583393938305,1.3067583393938431,1.2656542480726785e-14,-2.8819192664426354,True
0.9,1.2772275600162937,1.2772275600163077,1.3988810110276972e-14,-2.889902487416618,True
0.91,1.2476543347636007,1.247654334763615,1.4432899320127035e-14,-2.897258541394836,True
0.92,1.218043479469606,1.2180434794696204,1.4432899320127035e-14,-2.9040578308098257,True
0.93,1.1883991128639644,1.1883991128639784,1.3988810110276972e-14,-2.9103606981675507,True
0.9400000000000001,1.1587247774954972,1.1587247774955103,1.3100631690576847e-14,-2.9162191447366865,True
0.9500000000000001,1.129023536483333,1.1290235364833452,1.2212453270876722e-14,-2.9216782116624267,True
0.96,1.0992980515175956,1.0992980515176063,1.0658141036401503e-14,-2.9267770977167697,True
0.97,1.0695506461929267,1.0695506461929363,9.547918011776346e-15,-2.9315500699919026,True
0.98,1.0397833577780482,1.0397833577780564,8.215650382226158e-15,-2.936027210603095,True
0.99,1.0099979798000414,1.009997979800048,6.661338147750939e-15,-2.940235032608341,True
1.0,0.980196097281443,0.9801960972814484,5.440092820663267e-15,-2.944196990934327,True
