J,V,exact_E0,vqe_E0,abs_error_E0,success_E0,iterations_E0,exact_E1,vqe_E1,abs_error_E1,success_E1,iterations_E1,exact_E2,vqe_E2,abs_error_E2,success_E2,iterations_E2,exact_E3,vqe_E3,abs_error_E3,success_E3,iterations_E3,exact_E4,vqe_E4,abs_error_E4,success_E4,iterations_E4,max_abs_error
2,0.6666666666666666,-3.0550504633038926,-3.055050463303892,4.440892098500626e-16,True,17,-2.23606797749979,-2.23606797749979,0.0,True,13,3.3306690738754696e-16,-7.920846971384178e-17,4.1227537710138874e-16,True,21,2.23606797749979,2.23606797749979,0.0,True,9,3.0550504633038926,3.055050463303893,4.440892098500626e-16,True,9,4.440892098500626e-16
2,0.7333333333333333,-3.233161507461904,-3.2331615074619036,4.440892098500626e-16,True,36,-2.416609194718914,-2.4166091947189146,4.440892098500626e-16,True,29,4.198030811863873e-16,1.79988577565099e-18,4.180031954107363e-16,True,25,2.416609194718914,2.4166091947189146,4.440892098500626e-16,True,11,3.2331615074619036,3.2331615074619044,8.881784197001252e-16,True,10,8.881784197001252e-16
2,0.8,-3.417601498127013,-3.4176014981270124,4.440892098500626e-16,True,31,-2.6,-2.6,0.0,True,9,5.447031714567174e-16,1.0907601469747187e-16,4.3562715675924557e-16,True,20,2.6,2.6,0.0,True,26,3.4176014981270115,3.417601498127013,1.3322676295501878e-15,True,7,1.3322676295501878e-15
2,0.8666666666666667,-3.6073998022583154,-3.607399802258315,4.440892098500626e-16,True,26,-2.785677655436824,-2.785677655436824,0.0,True,22,-1.4311468676808659e-16,-4.159730179534487e-17,1.0151738497274172e-16,True,13,2.785677655436824,2.7856776554368237,4.440892098500626e-16,True,10,3.607399802258315,3.607399802258316,8.881784197001252e-16,True,7,8.881784197001252e-16
2,0.9333333333333333,-3.801753981168867,-3.8017539811688676,4.440892098500626e-16,True,34,-2.9732137494637008,-2.973213749463701,4.440892098500626e-16,True,15,-2.2724877535296173e-16,-2.84938530762872e-17,1.9875492227667454e-16,True,21,2.9732137494637008,2.9732137494637008,0.0,True,20,3.801753981168867,3.8017539811688676,4.440892098500626e-16,True,6,4.440892098500626e-16
2,1.0,-3.9999999999999996,-4.0,4.440892098500626e-16,True,11,-3.1622776601683795,-3.1622776601683795,0.0,True,8,-1.1622647289044608e-16,8.072981765627366e-17,1.9695629054671973e-16,True,13,3.1622776601683795,3.1622776601683795,0.0,True,18,4.0,4.0,0.0,True,7,4.440892098500626e-16
2,1.0666666666666667,-4.2015870017569945,-4.2015870017569945,0.0,True,23,-3.3526109228480423,-3.352610922848042,4.440892098500626e-16,True,24,-1.3877787807814457e-17,-2.332219979326089e-17,9.444411985446434e-18,True,12,3.3526109228480423,3.3526109228480423,0.0,True,16,4.2015870017569945,4.2015870017569945,0.0,True,1,4.440892098500626e-16
2,1.1333333333333333,-4.406056437828881,-4.406056437828881,0.0,True,20,-3.54400902933387,-3.54400902933387,0.0,True,22,2.5847379792054426e-16,-2.861554351901631e-17,2.870893414395606e-16,True,10,3.54400902933387,3.54400902933387,0.0,True,13,4.406056437828881,4.406056437828882,8.881784197001252e-16,True,1,8.881784197001252e-16
2,1.2,-4.613025037868318,-4.613025037868319,8.881784197001252e-16,True,10,-3.7363083384538807,-3.7363083384538807,0.0,True,24,5.724587470723463e-17,-2.90317894796765e-17,8.627766418691113e-17,True,13,3.7363083384538807,3.736308338453881,4.440892098500626e-16,True,17,4.613025037868319,4.613025037868318,8.881784197001252e-16,True,7,8.881784197001252e-16
2,1.2666666666666666,-4.822171018673367,-4.822171018673367,0.0,True,14,-3.9293765408776995,-3.9293765408776995,0.0,True,31,6.609296443471635e-16,-9.408227665011316e-17,7.550119209972766e-16,True,21,3.9293765408776995,3.9293765408777004,8.881784197001252e-16,True,29,4.822171018673366,4.822171018673366,0.0,True,5,8.881784197001252e-16
2,1.3333333333333333,-5.033222956847166,-5.033222956847165,8.881784197001252e-16,True,10,-4.123105625617661,-4.123105625617661,0.0,True,6,-2.7755575615628914e-16,4.612797291502617e-18,2.8216855344779175e-16,True,34,4.123105625617661,4.123105625617661,0.0,True,15,5.033222956847166,5.033222956847167,8.881784197001252e-16,True,1,8.881784197001252e-16
2,1.4,-5.2459508194416,-5.2459508194416005,8.881784197001252e-16,True,10,-4.31740662898458,-4.31740662898458,0.0,True,7,5.204170427930421e-17,-6.091807388186728e-17,1.129597781611715e-16,True,16,4.31740662898458,4.31740662898458,0.0,True,13,5.2459508194416,5.2459508194416,0.0,True,4,8.881784197001252e-16
2,1.4666666666666666,-5.460158727851539,-5.460158727851539,0.0,True,10,-4.51220566907139,-4.512205669071391,8.881784197001252e-16,True,6,7.840950111415168e-16,-7.962026892622506e-17,8.637152800677419e-16,True,21,4.51220566907139,4.512205669071391,8.881784197001252e-16,True,0,5.460158727851537,5.460158727851538,8.881784197001252e-16,True,8,8.881784197001252e-16
2,1.5333333333333332,-5.675679107678071,-5.67567910767807,8.881784197001252e-16,True,10,-4.707440918375927,-4.707440918375927,0.0,True,25,-1.7694179454963432e-16,-1.1469451815772113e-16,6.224727639191319e-17,True,13,4.707440918375927,4.707440918375927,0.0,True,10,5.6756791076780715,5.675679107678069,2.6645352591003757e-15,True,6,2.6645352591003757e-15
2,1.6,-5.892367945062494,-5.892367945062494,0.0,True,29,-4.903060268852506,-4.903060268852506,0.0,True,42,1.3877787807814457e-16,1.129405618962125e-16,2.583731618193206e-17,True,20,4.903060268852506,4.903060268852506,0.0,True,13,5.892367945062494,5.892367945062494,0.0,True,5,2.583731618193206e-17
2,1.6666666666666667,-6.110100926607788,-6.110100926607787,8.881784197001252e-16,True,17,-5.099019513592785,-5.099019513592785,0.0,True,25,-2.1510571102112408e-16,7.867490379531098e-17,2.937806148164351e-16,True,29,5.099019513592785,5.099019513592785,0.0,True,10,6.110100926607788,6.110100926607787,8.881784197001252e-16,True,5,8.881784197001252e-16
2,1.7333333333333334,-6.328770286029769,-6.328770286029769,0.0,True,11,-5.2952809179494915,-5.295280917949491,8.881784197001252e-16,True,6,-1.6167622796103842e-15,-5.209693264663957e-17,1.5646653469637447e-15,True,11,5.2952809179494915,5.295280917949491,8.881784197001252e-16,True,9,6.328770286029772,6.32877028602977,1.7763568394002505e-15,True,8,1.7763568394002505e-15
2,1.8,-6.54828221749796,-6.548282217497961,1.7763568394002505e-15,True,12,-5.491812087098393,-5.491812087098393,0.0,True,51,-1.1726730697603216e-15,-7.505406313764665e-17,1.097619006622675e-15,True,26,5.491812087098393,5.491812087098394,8.881784197001252e-16,True,1,6.5482822174979605,6.548282217497961,8.881784197001252e-16,True,8,1.7763568394002505e-15
2,1.8666666666666667,-6.768554744798428,-6.768554744798431,2.6645352591003757e-15,True,11,-5.688585061331157,-5.688585061331157,0.0,True,21,2.220446049250313e-16,-4.9905034311431167e-17,2.719496392364625e-16,True,16,5.688585061331157,5.688585061331155,1.7763568394002505e-15,True,17,6.768554744798428,6.768554744798429,8.881784197001252e-16,True,8,2.6645352591003757e-15
2,1.9333333333333333,-6.989515958443282,-6.989515958443283,8.881784197001252e-16,True,13,-5.885575587824865,-5.885575587824864,8.881784197001252e-16,True,30,4.440892098500626e-16,-2.1905663414924118e-18,4.46279776191555e-16,True,21,5.885575587824865,5.885575587824865,0.0,True,11,6.989515958443283,6.989515958443285,1.7763568394002505e-15,True,5,1.7763568394002505e-15
2,2.0,-7.211102550927979,-7.211102550927977,1.7763568394002505e-15,True,13,-6.0827625302982185,-6.08276253029822,1.7763568394002505e-15,True,32,-2.393918396847994e-16,1.006945327339726e-16,3.4008637241877196e-16,True,8,6.0827625302982185,6.08276253029822,1.7763568394002505e-15,True,8,7.211102550927979,7.211102550927979,0.0,True,0,1.7763568394002505e-15
